id,subjectKey,type,fr_question,en_question,nl_question,de_question
l006_country,legend_006,country,Dans quel pays cette légende est-elle surtout connue : Zmey ?,In which country is this legend mainly known: Zmey?,In welk land is deze legende vooral bekend: Zmey?,In welchem Land ist diese Legende vor allem bekannt: Zmey?
l006_what,legend_006,what,Que sont / qu’est-ce que Zmey dans le folklore européen ?,What are / what is Zmey in European folklore?,Wat zijn / wat is Zmey in de Europese folklore?,Was ist / was sind Zmey in der europäischen Folklore?
l006_tf,legend_006,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l007_country,legend_007,country,Dans quel pays cette légende est-elle surtout connue : La Sorcière de Zagreb ?,In which country is this legend mainly known: The Witch of Zagreb?,In welk land is deze legende vooral bekend: De heks van Zagreb?,In welchem Land ist diese Legende vor allem bekannt: Die Hexe von Zagreb?
l007_what,legend_007,what,Que sont / qu’est-ce que La Sorcière de Zagreb dans le folklore européen ?,What are / what is The Witch of Zagreb in European folklore?,Wat zijn / wat is De heks van Zagreb in de Europese folklore?,Was ist / was sind Die Hexe von Zagreb in der europäischen Folklore?
l007_tf,legend_007,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l008_country,legend_008,country,Dans quel pays cette légende est-elle surtout connue : Veli Jože ?,In which country is this legend mainly known: Veli Jože?,In welk land is deze legende vooral bekend: Veli Jože?,In welchem Land ist diese Legende vor allem bekannt: Veli Jože?
l008_what,legend_008,what,Que sont / qu’est-ce que Veli Jože dans le folklore européen ?,What are / what is Veli Jože in European folklore?,Wat zijn / wat is Veli Jože in de Europese folklore?,Was ist / was sind Veli Jože in der europäischen Folklore?
l008_tf,legend_008,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l009_country,legend_009,country,Dans quel pays cette légende est-elle surtout connue : Aphrodite née de l’écume ?,In which country is this legend mainly known: Aphrodite born from the sea foam?,In welk land is deze legende vooral bekend: Aphrodite geboren uit het zeeschuim?,"In welchem Land ist diese Legende vor allem bekannt: Aphrodite, aus dem Meeresschaum geboren?"
l009_what,legend_009,what,Que sont / qu’est-ce que Aphrodite née de l’écume dans le folklore européen ?,What are / what is Aphrodite born from the sea foam in European folklore?,Wat zijn / wat is Aphrodite geboren uit het zeeschuim in de Europese folklore?,"Was ist / was sind Aphrodite, aus dem Meeresschaum geboren in der europäischen Folklore?"
l009_tf,legend_009,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l010_country,legend_010,country,Dans quel pays cette légende est-elle surtout connue : Digenis Akritas ?,In which country is this legend mainly known: Digenis Akritas?,In welk land is deze legende vooral bekend: Digenis Akritas?,In welchem Land ist diese Legende vor allem bekannt: Digenis Akritas?
l010_what,legend_010,what,Que sont / qu’est-ce que Digenis Akritas dans le folklore européen ?,What are / what is Digenis Akritas in European folklore?,Wat zijn / wat is Digenis Akritas in de Europese folklore?,Was ist / was sind Digenis Akritas in der europäischen Folklore?
l010_tf,legend_010,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l011_country,legend_011,country,Dans quel pays cette légende est-elle surtout connue : Le Golem de Prague ?,In which country is this legend mainly known: The Golem of Prague?,In welk land is deze legende vooral bekend: De Golem van Praag?,In welchem Land ist diese Legende vor allem bekannt: Der Golem von Prag?
l011_what,legend_011,what,Que sont / qu’est-ce que Le Golem de Prague dans le folklore européen ?,What are / what is The Golem of Prague in European folklore?,Wat zijn / wat is De Golem van Praag in de Europese folklore?,Was ist / was sind Der Golem von Prag in der europäischen Folklore?
l011_tf,legend_011,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l012_country,legend_012,country,Dans quel pays cette légende est-elle surtout connue : Vodník ?,In which country is this legend mainly known: Vodník?,In welk land is deze legende vooral bekend: Vodník?,In welchem Land ist diese Legende vor allem bekannt: Vodník?
l012_what,legend_012,what,Que sont / qu’est-ce que Vodník dans le folklore européen ?,What are / what is Vodník in European folklore?,Wat zijn / wat is Vodník in de Europese folklore?,Was ist / was sind Vodník in der europäischen Folklore?
l012_tf,legend_012,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l013_country,legend_013,country,Dans quel pays cette légende est-elle surtout connue : Holger Danske ?,In which country is this legend mainly known: Holger Danske?,In welk land is deze legende vooral bekend: Holger Danske?,In welchem Land ist diese Legende vor allem bekannt: Holger Danske?
l013_what,legend_013,what,Que sont / qu’est-ce que Holger Danske dans le folklore européen ?,What are / what is Holger Danske in European folklore?,Wat zijn / wat is Holger Danske in de Europese folklore?,Was ist / was sind Holger Danske in der europäischen Folklore?
l013_tf,legend_013,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l014_country,legend_014,country,Dans quel pays cette légende est-elle surtout connue : La Dame de la mer ?,In which country is this legend mainly known: The Lady of the Sea?,In welk land is deze legende vooral bekend: De Vrouw van de Zee?,In welchem Land ist diese Legende vor allem bekannt: Die Frau des Meeres?
l014_what,legend_014,what,Que sont / qu’est-ce que La Dame de la mer dans le folklore européen ?,What are / what is The Lady of the Sea in European folklore?,Wat zijn / wat is De Vrouw van de Zee in de Europese folklore?,Was ist / was sind Die Frau des Meeres in der europäischen Folklore?
l014_tf,legend_014,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l015_country,legend_015,country,Dans quel pays cette légende est-elle surtout connue : Kalevipoeg ?,In which country is this legend mainly known: Kalevipoeg?,In welk land is deze legende vooral bekend: Kalevipoeg?,In welchem Land ist diese Legende vor allem bekannt: Kalevipoeg?
l015_what,legend_015,what,Que sont / qu’est-ce que Kalevipoeg dans le folklore européen ?,What are / what is Kalevipoeg in European folklore?,Wat zijn / wat is Kalevipoeg in de Europese folklore?,Was ist / was sind Kalevipoeg in der europäischen Folklore?
l015_tf,legend_015,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l016_country,legend_016,country,Dans quel pays cette légende est-elle surtout connue : Le trésor du lac Ülemiste ?,In which country is this legend mainly known: The treasure of Lake Ülemiste?,In welk land is deze legende vooral bekend: De schat van het Ülemistemeer?,In welchem Land ist diese Legende vor allem bekannt: Der Schatz des Ülemiste-Sees?
l016_what,legend_016,what,Que sont / qu’est-ce que Le trésor du lac Ülemiste dans le folklore européen ?,What are / what is The treasure of Lake Ülemiste in European folklore?,Wat zijn / wat is De schat van het Ülemistemeer in de Europese folklore?,Was ist / was sind Der Schatz des Ülemiste-Sees in der europäischen Folklore?
l016_tf,legend_016,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l017_country,legend_017,country,Dans quel pays cette légende est-elle surtout connue : Väinämöinen ?,In which country is this legend mainly known: Väinämöinen?,In welk land is deze legende vooral bekend: Väinämöinen?,In welchem Land ist diese Legende vor allem bekannt: Väinämöinen?
l017_what,legend_017,what,Que sont / qu’est-ce que Väinämöinen dans le folklore européen ?,What are / what is Väinämöinen in European folklore?,Wat zijn / wat is Väinämöinen in de Europese folklore?,Was ist / was sind Väinämöinen in der europäischen Folklore?
l017_tf,legend_017,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l018_country,legend_018,country,Dans quel pays cette légende est-elle surtout connue : Hiisi ?,In which country is this legend mainly known: Hiisi?,In welk land is deze legende vooral bekend: Hiisi?,In welchem Land ist diese Legende vor allem bekannt: Hiisi?
l018_what,legend_018,what,Que sont / qu’est-ce que Hiisi dans le folklore européen ?,What are / what is Hiisi in European folklore?,Wat zijn / wat is Hiisi in de Europese folklore?,Was ist / was sind Hiisi in der europäischen Folklore?
l018_tf,legend_018,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l019_country,legend_019,country,Dans quel pays cette légende est-elle surtout connue : Mélusine ?,In which country is this legend mainly known: Melusine?,In welk land is deze legende vooral bekend: Melusine?,In welchem Land ist diese Legende vor allem bekannt: Melusine?
l019_what,legend_019,what,Que sont / qu’est-ce que Mélusine dans le folklore européen ?,What are / what is Melusine in European folklore?,Wat zijn / wat is Melusine in de Europese folklore?,Was ist / was sind Melusine in der europäischen Folklore?
l019_tf,legend_019,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l020_country,legend_020,country,Dans quel pays cette légende est-elle surtout connue : La Bête du Gévaudan ?,In which country is this legend mainly known: The Beast of Gévaudan?,In welk land is deze legende vooral bekend: Het Beest van Gévaudan?,In welchem Land ist diese Legende vor allem bekannt: Die Bestie des Gévaudan?
l020_what,legend_020,what,Que sont / qu’est-ce que La Bête du Gévaudan dans le folklore européen ?,What are / what is The Beast of Gévaudan in European folklore?,Wat zijn / wat is Het Beest van Gévaudan in de Europese folklore?,Was ist / was sind Die Bestie des Gévaudan in der europäischen Folklore?
l020_tf,legend_020,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l021_country,legend_021,country,Dans quel pays cette légende est-elle surtout connue : Lorelei ?,In which country is this legend mainly known: Lorelei?,In welk land is deze legende vooral bekend: Lorelei?,In welchem Land ist diese Legende vor allem bekannt: Lorelei?
l021_what,legend_021,what,Que sont / qu’est-ce que Lorelei dans le folklore européen ?,What are / what is Lorelei in European folklore?,Wat zijn / wat is Lorelei in de Europese folklore?,Was ist / was sind Lorelei in der europäischen Folklore?
l021_tf,legend_021,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l022_country,legend_022,country,Dans quel pays cette légende est-elle surtout connue : Le joueur de flûte de Hamelin ?,In which country is this legend mainly known: The Pied Piper of Hamelin?,In welk land is deze legende vooral bekend: De rattenvanger van Hamelen?,In welchem Land ist diese Legende vor allem bekannt: Der Rattenfänger von Hameln?
l022_what,legend_022,what,Que sont / qu’est-ce que Le joueur de flûte de Hamelin dans le folklore européen ?,What are / what is The Pied Piper of Hamelin in European folklore?,Wat zijn / wat is De rattenvanger van Hamelen in de Europese folklore?,Was ist / was sind Der Rattenfänger von Hameln in der europäischen Folklore?
l022_tf,legend_022,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l023_country,legend_023,country,Dans quel pays cette légende est-elle surtout connue : Méduse ?,In which country is this legend mainly known: Medusa?,In welk land is deze legende vooral bekend: Medusa?,In welchem Land ist diese Legende vor allem bekannt: Medusa?
l023_what,legend_023,what,Que sont / qu’est-ce que Méduse dans le folklore européen ?,What are / what is Medusa in European folklore?,Wat zijn / wat is Medusa in de Europese folklore?,Was ist / was sind Medusa in der europäischen Folklore?
l023_tf,legend_023,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l024_country,legend_024,country,Dans quel pays cette légende est-elle surtout connue : Minotaure ?,In which country is this legend mainly known: Minotaur?,In welk land is deze legende vooral bekend: Minotaurus?,In welchem Land ist diese Legende vor allem bekannt: Minotaurus?
l024_what,legend_024,what,Que sont / qu’est-ce que Minotaure dans le folklore européen ?,What are / what is Minotaur in European folklore?,Wat zijn / wat is Minotaurus in de Europese folklore?,Was ist / was sind Minotaurus in der europäischen Folklore?
l024_tf,legend_024,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l025_country,legend_025,country,Dans quel pays cette légende est-elle surtout connue : Turul ?,In which country is this legend mainly known: Turul?,In welk land is deze legende vooral bekend: Turul?,In welchem Land ist diese Legende vor allem bekannt: Turul?
l025_what,legend_025,what,Que sont / qu’est-ce que Turul dans le folklore européen ?,What are / what is Turul in European folklore?,Wat zijn / wat is Turul in de Europese folklore?,Was ist / was sind Turul in der europäischen Folklore?
l025_tf,legend_025,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l026_country,legend_026,country,"Dans quel pays cette légende est-elle surtout connue : Csodaszarvas, le cerf miraculeux ?","In which country is this legend mainly known: Csodaszarvas, the miraculous stag?","In welk land is deze legende vooral bekend: Csodaszarvas, het wonderhert?","In welchem Land ist diese Legende vor allem bekannt: Csodaszarvas, der Wunderhirsch?"
l026_what,legend_026,what,"Que sont / qu’est-ce que Csodaszarvas, le cerf miraculeux dans le folklore européen ?","What are / what is Csodaszarvas, the miraculous stag in European folklore?","Wat zijn / wat is Csodaszarvas, het wonderhert in de Europese folklore?","Was ist / was sind Csodaszarvas, der Wunderhirsch in der europäischen Folklore?"
l026_tf,legend_026,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l027_country,legend_027,country,Dans quel pays cette légende est-elle surtout connue : Banshee ?,In which country is this legend mainly known: Banshee?,In welk land is deze legende vooral bekend: Banshee?,In welchem Land ist diese Legende vor allem bekannt: Banshee?
l027_what,legend_027,what,Que sont / qu’est-ce que Banshee dans le folklore européen ?,What are / what is Banshee in European folklore?,Wat zijn / wat is Banshee in de Europese folklore?,Was ist / was sind Banshee in der europäischen Folklore?
l027_tf,legend_027,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l028_country,legend_028,country,Dans quel pays cette légende est-elle surtout connue : Leprechaun ?,In which country is this legend mainly known: Leprechaun?,In welk land is deze legende vooral bekend: Leprechaun?,In welchem Land ist diese Legende vor allem bekannt: Leprechaun?
l028_what,legend_028,what,Que sont / qu’est-ce que Leprechaun dans le folklore européen ?,What are / what is Leprechaun in European folklore?,Wat zijn / wat is Leprechaun in de Europese folklore?,Was ist / was sind Leprechaun in der europäischen Folklore?
l028_tf,legend_028,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l029_country,legend_029,country,Dans quel pays cette légende est-elle surtout connue : La Befana ?,In which country is this legend mainly known: La Befana?,In welk land is deze legende vooral bekend: La Befana?,In welchem Land ist diese Legende vor allem bekannt: La Befana?
l029_what,legend_029,what,Que sont / qu’est-ce que La Befana dans le folklore européen ?,What are / what is La Befana in European folklore?,Wat zijn / wat is La Befana in de Europese folklore?,Was ist / was sind La Befana in der europäischen Folklore?
l029_tf,legend_029,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l030_country,legend_030,country,Dans quel pays cette légende est-elle surtout connue : Colapesce ?,In which country is this legend mainly known: Colapesce?,In welk land is deze legende vooral bekend: Colapesce?,In welchem Land ist diese Legende vor allem bekannt: Colapesce?
l030_what,legend_030,what,Que sont / qu’est-ce que Colapesce dans le folklore européen ?,What are / what is Colapesce in European folklore?,Wat zijn / wat is Colapesce in de Europese folklore?,Was ist / was sind Colapesce in der europäischen Folklore?
l030_tf,legend_030,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l031_country,legend_031,country,Dans quel pays cette légende est-elle surtout connue : Lāčplēsis ?,In which country is this legend mainly known: Lāčplēsis?,In welk land is deze legende vooral bekend: Lāčplēsis?,In welchem Land ist diese Legende vor allem bekannt: Lāčplēsis?
l031_what,legend_031,what,Que sont / qu’est-ce que Lāčplēsis dans le folklore européen ?,What are / what is Lāčplēsis in European folklore?,Wat zijn / wat is Lāčplēsis in de Europese folklore?,Was ist / was sind Lāčplēsis in der europäischen Folklore?
l031_tf,legend_031,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l032_country,legend_032,country,Dans quel pays cette légende est-elle surtout connue : Lauma ?,In which country is this legend mainly known: Lauma?,In welk land is deze legende vooral bekend: Lauma?,In welchem Land ist diese Legende vor allem bekannt: Lauma?
l032_what,legend_032,what,Que sont / qu’est-ce que Lauma dans le folklore européen ?,What are / what is Lauma in European folklore?,Wat zijn / wat is Lauma in de Europese folklore?,Was ist / was sind Lauma in der europäischen Folklore?
l032_tf,legend_032,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l033_country,legend_033,country,"Dans quel pays cette légende est-elle surtout connue : Eglė, reine des serpents ?","In which country is this legend mainly known: Eglė, Queen of Serpents?","In welk land is deze legende vooral bekend: Eglė, koningin van de slangen?","In welchem Land ist diese Legende vor allem bekannt: Eglė, Königin der Schlangen?"
l033_what,legend_033,what,"Que sont / qu’est-ce que Eglė, reine des serpents dans le folklore européen ?","What are / what is Eglė, Queen of Serpents in European folklore?","Wat zijn / wat is Eglė, koningin van de slangen in de Europese folklore?","Was ist / was sind Eglė, Königin der Schlangen in der europäischen Folklore?"
l033_tf,legend_033,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l034_country,legend_034,country,Dans quel pays cette légende est-elle surtout connue : Jūratė et Kastytis ?,In which country is this legend mainly known: Jūratė and Kastytis?,In welk land is deze legende vooral bekend: Jūratė en Kastytis?,In welchem Land ist diese Legende vor allem bekannt: Jūratė und Kastytis?
l034_what,legend_034,what,Que sont / qu’est-ce que Jūratė et Kastytis dans le folklore européen ?,What are / what is Jūratė and Kastytis in European folklore?,Wat zijn / wat is Jūratė en Kastytis in de Europese folklore?,Was ist / was sind Jūratė und Kastytis in der europäischen Folklore?
l034_tf,legend_034,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l035_country,legend_035,country,Dans quel pays cette légende est-elle surtout connue : Mélusine de Luxembourg ?,In which country is this legend mainly known: Melusine of Luxembourg?,In welk land is deze legende vooral bekend: Melusine van Luxemburg?,In welchem Land ist diese Legende vor allem bekannt: Melusine von Luxemburg?
l035_what,legend_035,what,Que sont / qu’est-ce que Mélusine de Luxembourg dans le folklore européen ?,What are / what is Melusine of Luxembourg in European folklore?,Wat zijn / wat is Melusine van Luxemburg in de Europese folklore?,Was ist / was sind Melusine von Luxemburg in der europäischen Folklore?
l035_tf,legend_035,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l036_country,legend_036,country,Dans quel pays cette légende est-elle surtout connue : Kropemann ?,In which country is this legend mainly known: Kropemann?,In welk land is deze legende vooral bekend: Kropemann?,In welchem Land ist diese Legende vor allem bekannt: Kropemann?
l036_what,legend_036,what,Que sont / qu’est-ce que Kropemann dans le folklore européen ?,What are / what is Kropemann in European folklore?,Wat zijn / wat is Kropemann in de Europese folklore?,Was ist / was sind Kropemann in der europäischen Folklore?
l036_tf,legend_036,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l037_country,legend_037,country,Dans quel pays cette légende est-elle surtout connue : Għar Dalam et les géants ?,In which country is this legend mainly known: Għar Dalam and the giants?,In welk land is deze legende vooral bekend: Għar Dalam en de reuzen?,In welchem Land ist diese Legende vor allem bekannt: Għar Dalam und die Riesen?
l037_what,legend_037,what,Que sont / qu’est-ce que Għar Dalam et les géants dans le folklore européen ?,What are / what is Għar Dalam and the giants in European folklore?,Wat zijn / wat is Għar Dalam en de reuzen in de Europese folklore?,Was ist / was sind Għar Dalam und die Riesen in der europäischen Folklore?
l037_tf,legend_037,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l038_country,legend_038,country,Dans quel pays cette légende est-elle surtout connue : Il-Maqluba ?,In which country is this legend mainly known: Il-Maqluba?,In welk land is deze legende vooral bekend: Il-Maqluba?,In welchem Land ist diese Legende vor allem bekannt: Il-Maqluba?
l038_what,legend_038,what,Que sont / qu’est-ce que Il-Maqluba dans le folklore européen ?,What are / what is Il-Maqluba in European folklore?,Wat zijn / wat is Il-Maqluba in de Europese folklore?,Was ist / was sind Il-Maqluba in der europäischen Folklore?
l038_tf,legend_038,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l039_country,legend_039,country,Dans quel pays cette légende est-elle surtout connue : Le Hollandais volant ?,In which country is this legend mainly known: The Flying Dutchman?,In welk land is deze legende vooral bekend: De Vliegende Hollander?,In welchem Land ist diese Legende vor allem bekannt: Der Fliegende Holländer?
l039_what,legend_039,what,Que sont / qu’est-ce que Le Hollandais volant dans le folklore européen ?,What are / what is The Flying Dutchman in European folklore?,Wat zijn / wat is De Vliegende Hollander in de Europese folklore?,Was ist / was sind Der Fliegende Holländer in der europäischen Folklore?
l039_tf,legend_039,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l040_country,legend_040,country,Dans quel pays cette légende est-elle surtout connue : Les Witte Wieven ?,In which country is this legend mainly known: The Witte Wieven?,In welk land is deze legende vooral bekend: De Witte Wieven?,In welchem Land ist diese Legende vor allem bekannt: Die Witte Wieven?
l040_what,legend_040,what,Que sont / qu’est-ce que Les Witte Wieven dans le folklore européen ?,What are / what is The Witte Wieven in European folklore?,Wat zijn / wat is De Witte Wieven in de Europese folklore?,Was ist / was sind Die Witte Wieven in der europäischen Folklore?
l040_tf,legend_040,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l041_country,legend_041,country,Dans quel pays cette légende est-elle surtout connue : Le dragon du Wawel ?,In which country is this legend mainly known: The Wawel Dragon?,In welk land is deze legende vooral bekend: De Wawel-draak?,In welchem Land ist diese Legende vor allem bekannt: Der Wawel-Drache?
l041_what,legend_041,what,Que sont / qu’est-ce que Le dragon du Wawel dans le folklore européen ?,What are / what is The Wawel Dragon in European folklore?,Wat zijn / wat is De Wawel-draak in de Europese folklore?,Was ist / was sind Der Wawel-Drache in der europäischen Folklore?
l041_tf,legend_041,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l042_country,legend_042,country,Dans quel pays cette légende est-elle surtout connue : Basilic de Varsovie ?,In which country is this legend mainly known: The Basilisk of Warsaw?,In welk land is deze legende vooral bekend: De basilisk van Warschau?,In welchem Land ist diese Legende vor allem bekannt: Der Basilisk von Warschau?
l042_what,legend_042,what,Que sont / qu’est-ce que Basilic de Varsovie dans le folklore européen ?,What are / what is The Basilisk of Warsaw in European folklore?,Wat zijn / wat is De basilisk van Warschau in de Europese folklore?,Was ist / was sind Der Basilisk von Warschau in der europäischen Folklore?
l042_tf,legend_042,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l043_country,legend_043,country,Dans quel pays cette légende est-elle surtout connue : Bicho-Papão ?,In which country is this legend mainly known: Bicho-Papão?,In welk land is deze legende vooral bekend: Bicho-Papão?,In welchem Land ist diese Legende vor allem bekannt: Bicho-Papão?
l043_what,legend_043,what,Que sont / qu’est-ce que Bicho-Papão dans le folklore européen ?,What are / what is Bicho-Papão in European folklore?,Wat zijn / wat is Bicho-Papão in de Europese folklore?,Was ist / was sind Bicho-Papão in der europäischen Folklore?
l043_tf,legend_043,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l044_country,legend_044,country,Dans quel pays cette légende est-elle surtout connue : Le coq de Barcelos ?,In which country is this legend mainly known: The Rooster of Barcelos?,In welk land is deze legende vooral bekend: De haan van Barcelos?,In welchem Land ist diese Legende vor allem bekannt: Der Hahn von Barcelos?
l044_what,legend_044,what,Que sont / qu’est-ce que Le coq de Barcelos dans le folklore européen ?,What are / what is The Rooster of Barcelos in European folklore?,Wat zijn / wat is De haan van Barcelos in de Europese folklore?,Was ist / was sind Der Hahn von Barcelos in der europäischen Folklore?
l044_tf,legend_044,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l045_country,legend_045,country,Dans quel pays cette légende est-elle surtout connue : Strigoi ?,In which country is this legend mainly known: Strigoi?,In welk land is deze legende vooral bekend: Strigoi?,In welchem Land ist diese Legende vor allem bekannt: Strigoi?
