id,subjectKey,type,fr_question,en_question,nl_question,de_question,image
c008_ingredient,food_mammi,ingredient,Quel ingrédient ou élément rend les Mämmi particulièrement reconnaissables ?,Which ingredient or element makes Mämmi especially recognisable?,Welk ingrediënt of element maakt Mämmi bijzonder herkenbaar?,Welche Zutat oder welches Element macht Mämmi besonders erkennbar?,mammi.jpg
c008_known,food_mammi,knownfor,Pourquoi les Mämmi sont-ils particulièrement connus ?,Why are Mämmi especially known?,Waarom zijn Mämmi bijzonder bekend?,Wofür sind Mämmi besonders bekannt?,mammi.jpg
c008_riddle,food_mammi,riddle,"Devinette : je suis lié à Finlande, je surprends par son lien avec Pâques. Qui suis-je ?","Riddle: I am linked to Finland, and I surprise people with its link with Easter. What am I?",Raadsel: ik ben verbonden met Finland en verras door zijn link met Pasen. Wat ben ik?,Rätsel: Ich bin mit Finnland verbunden und überrasche durch seine Verbindung zu Ostern. Was bin ich?,mammi.jpg
c008_image,food_mammi,image,Quelle spécialité est représentée sur cette photo ?,Which speciality is shown in this photo?,Welke specialiteit staat op deze foto?,Welche Spezialität ist auf diesem Foto zu sehen?,mammi.jpg
c008_tf,food_mammi,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?,mammi.jpg
c009_what,food_jellied_eels,what,Que sont les Jellied eels ?,What are Jellied eels?,Wat zijn Jellied eels?,Was sind Jellied eels?,jellied-eels.jpg
c009_country,food_jellied_eels,country,Dans quel pays ou région déguste-t-on traditionnellement les Jellied eels ?,In which country or region are Jellied eels traditionally eaten?,In welk land of welke regio worden Jellied eels traditioneel gegeten?,In welchem Land oder welcher Region werden Jellied eels traditionell gegessen?,jellied-eels.jpg
c009_ingredient,food_jellied_eels,ingredient,Quel ingrédient ou élément rend les Jellied eels particulièrement reconnaissables ?,Which ingredient or element makes Jellied eels especially recognisable?,Welk ingrediënt of element maakt Jellied eels bijzonder herkenbaar?,Welche Zutat oder welches Element macht Jellied eels besonders erkennbar?,jellied-eels.jpg
c009_known,food_jellied_eels,knownfor,Pourquoi les Jellied eels sont-ils particulièrement connus ?,Why are Jellied eels especially known?,Waarom zijn Jellied eels bijzonder bekend?,Wofür sind Jellied eels besonders bekannt?,jellied-eels.jpg
c009_riddle,food_jellied_eels,riddle,"Devinette : je suis lié à Londres, je surprends par son lien avec l’East End londonien. Qui suis-je ?","Riddle: I am linked to London, and I surprise people with its link with London’s East End. What am I?",Raadsel: ik ben verbonden met Londen en verras door zijn link met East End Londen. Wat ben ik?,Rätsel: Ich bin mit London verbunden und überrasche durch seine Verbindung zum Londoner East End. Was bin ich?,jellied-eels.jpg
c009_image,food_jellied_eels,image,Quelle spécialité est représentée sur cette photo ?,Which speciality is shown in this photo?,Welke specialiteit staat op deze foto?,Welche Spezialität ist auf diesem Foto zu sehen?,jellied-eels.jpg
c009_tf,food_jellied_eels,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?,jellied-eels.jpg
c010_what,food_czernina,what,Que sont les Czernina ?,What are Czernina?,Wat zijn Czernina?,Was sind Czernina?,czernina.jpg
c010_country,food_czernina,country,Dans quel pays ou région déguste-t-on traditionnellement les Czernina ?,In which country or region are Czernina traditionally eaten?,In welk land of welke regio worden Czernina traditioneel gegeten?,In welchem Land oder welcher Region werden Czernina traditionell gegessen?,czernina.jpg
c010_ingredient,food_czernina,ingredient,Quel ingrédient ou élément rend les Czernina particulièrement reconnaissables ?,Which ingredient or element makes Czernina especially recognisable?,Welk ingrediënt of element maakt Czernina bijzonder herkenbaar?,Welche Zutat oder welches Element macht Czernina besonders erkennbar?,czernina.jpg
c010_known,food_czernina,knownfor,Pourquoi les Czernina sont-ils particulièrement connus ?,Why are Czernina especially known?,Waarom zijn Czernina bijzonder bekend?,Wofür sind Czernina besonders bekannt?,czernina.jpg
c010_riddle,food_czernina,riddle,"Devinette : je suis lié à Pologne, je surprends par son équilibre entre goût acidulé et ingrédient surprenant. Qui suis-je ?","Riddle: I am linked to Poland, and I surprise people with its balance of tangy flavour and surprising ingredient. What am I?",Raadsel: ik ben verbonden met Polen en verras door zijn balans tussen zure smaak en verrassend ingrediënt. Wat ben ik?,Rätsel: Ich bin mit Polen verbunden und überrasche durch ihre Balance aus säuerlichem Geschmack und überraschender Zutat. Was bin ich?,czernina.jpg
c010_image,food_czernina,image,Quelle spécialité est représentée sur cette photo ?,Which speciality is shown in this photo?,Welke specialiteit staat op deze foto?,Welche Spezialität ist auf diesem Foto zu sehen?,czernina.jpg
c010_tf,food_czernina,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?,czernina.jpg
c011_what,food_ciorba_de_burta,what,Que sont les Ciorbă de burtă ?,What are Ciorbă de burtă?,Wat zijn Ciorbă de burtă?,Was sind Ciorbă de burtă?,ciorba-de-burta.jpg
c011_country,food_ciorba_de_burta,country,Dans quel pays ou région déguste-t-on traditionnellement les Ciorbă de burtă ?,In which country or region are Ciorbă de burtă traditionally eaten?,In welk land of welke regio worden Ciorbă de burtă traditioneel gegeten?,In welchem Land oder welcher Region werden Ciorbă de burtă traditionell gegessen?,ciorba-de-burta.jpg
c011_ingredient,food_ciorba_de_burta,ingredient,Quel ingrédient ou élément rend les Ciorbă de burtă particulièrement reconnaissables ?,Which ingredient or element makes Ciorbă de burtă especially recognisable?,Welk ingrediënt of element maakt Ciorbă de burtă bijzonder herkenbaar?,Welche Zutat oder welches Element macht Ciorbă de burtă besonders erkennbar?,ciorba-de-burta.jpg
c011_known,food_ciorba_de_burta,knownfor,Pourquoi les Ciorbă de burtă sont-ils particulièrement connus ?,Why are Ciorbă de burtă especially known?,Waarom zijn Ciorbă de burtă bijzonder bekend?,Wofür sind Ciorbă de burtă besonders bekannt?,ciorba-de-burta.jpg
c011_riddle,food_ciorba_de_burta,riddle,"Devinette : je suis lié à Roumanie, je surprends par sa texture et son assaisonnement puissant. Qui suis-je ?","Riddle: I am linked to Romania, and I surprise people with its texture and powerful seasoning. What am I?",Raadsel: ik ben verbonden met Roemenië en verras door zijn textuur en krachtige kruiding. Wat ben ik?,Rätsel: Ich bin mit Rumänien verbunden und überrasche durch ihre Textur und kräftige Würzung. Was bin ich?,ciorba-de-burta.jpg
c011_image,food_ciorba_de_burta,image,Quelle spécialité est représentée sur cette photo ?,Which speciality is shown in this photo?,Welke specialiteit staat op deze foto?,Welche Spezialität ist auf diesem Foto zu sehen?,ciorba-de-burta.jpg
c011_tf,food_ciorba_de_burta,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?,ciorba-de-burta.jpg
c012_what,food_kokoretsi,what,Que sont les Kokoretsi ?,What are Kokoretsi?,Wat zijn Kokoretsi?,Was sind Kokoretsi?,kokoretsi.jpg
c012_country,food_kokoretsi,country,Dans quel pays ou région déguste-t-on traditionnellement les Kokoretsi ?,In which country or region are Kokoretsi traditionally eaten?,In welk land of welke regio worden Kokoretsi traditioneel gegeten?,In welchem Land oder welcher Region werden Kokoretsi traditionell gegessen?,kokoretsi.jpg
c012_ingredient,food_kokoretsi,ingredient,Quel ingrédient ou élément rend les Kokoretsi particulièrement reconnaissables ?,Which ingredient or element makes Kokoretsi especially recognisable?,Welk ingrediënt of element maakt Kokoretsi bijzonder herkenbaar?,Welche Zutat oder welches Element macht Kokoretsi besonders erkennbar?,kokoretsi.jpg
c012_known,food_kokoretsi,knownfor,Pourquoi les Kokoretsi sont-ils particulièrement connus ?,Why are Kokoretsi especially known?,Waarom zijn Kokoretsi bijzonder bekend?,Wofür sind Kokoretsi besonders bekannt?,kokoretsi.jpg
c012_riddle,food_kokoretsi,riddle,"Devinette : je suis lié à Grèce / Balkans, je surprends par sa cuisson à la broche. Qui suis-je ?","Riddle: I am linked to Greece / Balkans, and I surprise people with being cooked on a spit. What am I?",Raadsel: ik ben verbonden met Griekenland / Balkan en verras door de bereiding aan het spit. Wat ben ik?,Rätsel: Ich bin mit Griechenland / Balkan verbunden und überrasche durch die Zubereitung am Spieß. Was bin ich?,kokoretsi.jpg
c012_image,food_kokoretsi,image,Quelle spécialité est représentée sur cette photo ?,Which speciality is shown in this photo?,Welke specialiteit staat op deze foto?,Welche Spezialität ist auf diesem Foto zu sehen?,kokoretsi.jpg
c012_tf,food_kokoretsi,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?,kokoretsi.jpg
c013_what,food_labskaus,what,Que sont les Labskaus ?,What are Labskaus?,Wat zijn Labskaus?,Was sind Labskaus?,labskaus.jpg
c013_country,food_labskaus,country,Dans quel pays ou région déguste-t-on traditionnellement les Labskaus ?,In which country or region are Labskaus traditionally eaten?,In welk land of welke regio worden Labskaus traditioneel gegeten?,In welchem Land oder welcher Region werden Labskaus traditionell gegessen?,labskaus.jpg
c013_ingredient,food_labskaus,ingredient,Quel ingrédient ou élément rend les Labskaus particulièrement reconnaissables ?,Which ingredient or element makes Labskaus especially recognisable?,Welk ingrediënt of element maakt Labskaus bijzonder herkenbaar?,Welche Zutat oder welches Element macht Labskaus besonders erkennbar?,labskaus.jpg
c013_known,food_labskaus,knownfor,Pourquoi les Labskaus sont-ils particulièrement connus ?,Why are Labskaus especially known?,Waarom zijn Labskaus bijzonder bekend?,Wofür sind Labskaus besonders bekannt?,labskaus.jpg
c013_riddle,food_labskaus,riddle,"Devinette : je suis lié à Nord de l’Allemagne, je surprends par son origine maritime dans le nord. Qui suis-je ?","Riddle: I am linked to Northern Germany, and I surprise people with its northern maritime origin. What am I?",Raadsel: ik ben verbonden met Noord-Duitsland en verras door zijn noordelijke maritieme oorsprong. Wat ben ik?,Rätsel: Ich bin mit Norddeutschland verbunden und überrasche durch seinen norddeutschen Seefahrtsursprung. Was bin ich?,labskaus.jpg
c013_image,food_labskaus,image,Quelle spécialité est représentée sur cette photo ?,Which speciality is shown in this photo?,Welke specialiteit staat op deze foto?,Welche Spezialität ist auf diesem Foto zu sehen?,labskaus.jpg
c013_tf,food_labskaus,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?,labskaus.jpg
c014_what,food_tripas_porto,what,Que sont les Tripas à moda do Porto ?,What are Tripas à moda do Porto?,Wat zijn Tripas à moda do Porto?,Was sind Tripas à moda do Porto?,tripas-porto.jpg
c014_country,food_tripas_porto,country,Dans quel pays ou région déguste-t-on traditionnellement les Tripas à moda do Porto ?,In which country or region are Tripas à moda do Porto traditionally eaten?,In welk land of welke regio worden Tripas à moda do Porto traditioneel gegeten?,In welchem Land oder welcher Region werden Tripas à moda do Porto traditionell gegessen?,tripas-porto.jpg
c014_ingredient,food_tripas_porto,ingredient,Quel ingrédient ou élément rend les Tripas à moda do Porto particulièrement reconnaissables ?,Which ingredient or element makes Tripas à moda do Porto especially recognisable?,Welk ingrediënt of element maakt Tripas à moda do Porto bijzonder herkenbaar?,Welche Zutat oder welches Element macht Tripas à moda do Porto besonders erkennbar?,tripas-porto.jpg
c014_known,food_tripas_porto,knownfor,Pourquoi les Tripas à moda do Porto sont-ils particulièrement connus ?,Why are Tripas à moda do Porto especially known?,Waarom zijn Tripas à moda do Porto bijzonder bekend?,Wofür sind Tripas à moda do Porto besonders bekannt?,tripas-porto.jpg
c014_riddle,food_tripas_porto,riddle,"Devinette : je suis lié à Porto, je surprends par son association forte avec Porto. Qui suis-je ?","Riddle: I am linked to Porto, and I surprise people with its strong association with Porto. What am I?",Raadsel: ik ben verbonden met Porto en verras door zijn sterke band met Porto. Wat ben ik?,Rätsel: Ich bin mit Porto verbunden und überrasche durch seine starke Verbindung zu Porto. Was bin ich?,tripas-porto.jpg
c014_image,food_tripas_porto,image,Quelle spécialité est représentée sur cette photo ?,Which speciality is shown in this photo?,Welke specialiteit staat op deze foto?,Welche Spezialität ist auf diesem Foto zu sehen?,tripas-porto.jpg
c014_tf,food_tripas_porto,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?,tripas-porto.jpg
c015_what,food_sklandrausis,what,Que sont les Sklandrausis ?,What are Sklandrausis?,Wat zijn Sklandrausis?,Was sind Sklandrausis?,sklandrausis.jpg
c015_country,food_sklandrausis,country,Dans quel pays ou région déguste-t-on traditionnellement les Sklandrausis ?,In which country or region are Sklandrausis traditionally eaten?,In welk land of welke regio worden Sklandrausis traditioneel gegeten?,In welchem Land oder welcher Region werden Sklandrausis traditionell gegessen?,sklandrausis.jpg
c015_ingredient,food_sklandrausis,ingredient,Quel ingrédient ou élément rend les Sklandrausis particulièrement reconnaissables ?,Which ingredient or element makes Sklandrausis especially recognisable?,Welk ingrediënt of element maakt Sklandrausis bijzonder herkenbaar?,Welche Zutat oder welches Element macht Sklandrausis besonders erkennbar?,sklandrausis.jpg
c015_known,food_sklandrausis,knownfor,Pourquoi les Sklandrausis sont-ils particulièrement connus ?,Why are Sklandrausis especially known?,Waarom zijn Sklandrausis bijzonder bekend?,Wofür sind Sklandrausis besonders bekannt?,sklandrausis.jpg
c015_riddle,food_sklandrausis,riddle,"Devinette : je suis lié à Lettonie, je surprends par sa forme de tartelette traditionnelle. Qui suis-je ?","Riddle: I am linked to Latvia, and I surprise people with its traditional tartlet shape. What am I?",Raadsel: ik ben verbonden met Letland en verras door zijn traditionele taartvorm. Wat ben ik?,Rätsel: Ich bin mit Lettland verbunden und überrasche durch seine traditionelle Törtchenform. Was bin ich?,sklandrausis.jpg
c015_image,food_sklandrausis,image,Quelle spécialité est représentée sur cette photo ?,Which speciality is shown in this photo?,Welke specialiteit staat op deze foto?,Welche Spezialität ist auf diesem Foto zu sehen?,sklandrausis.jpg
c015_tf,food_sklandrausis,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?,sklandrausis.jpg
